Julian date,Count corrected [/day],Radial velocity [km/s],Tangential velocity [km/s],Radial distance [au],Detection time [hours],Velocity phase angle [deg],Velocity inclination [deg],V_X (HAE) [km/s],V_Y (HAE) [km/s],V_Z (HAE) [km/s],Deviation angle [deg],Area front [m^2],Area side [m^2]
2458393.625048426,11.0,-19.39594525059117,23.780196689231985,0.7403808009997007,4.207896821701854,124.45955639217293,1.4465617720017678,-17.357996818596583,25.29427322239709,0.7746840251394416,0.0,6.11,4.62
2458393.9583817595,21.0,-19.56214577343705,23.903285229485533,0.7366308042432665,8.000246577114074,124.90840565297451,1.404339673650101,-17.670626947857603,25.32233205677559,0.7569904222553009,0.3483045901864645,6.11,4.62
2458394.2917150925,1.0,-19.73148139376795,24.027623490237854,0.7328485545329437,0.9806127716641985,125.36274056340456,1.3621824765875123,-17.98893363757422,25.347781635374144,0.7391084694283162,0.7058210887498375,6.11,4.62
2458394.625048426,23.0,-19.92422718353802,24.157856983797256,0.7290327755624043,6.227376358089481,125.84661804585595,1.3383207055044017,-18.333116843735993,25.375949308432308,0.7313729559088581,0.0,6.11,4.62
2458394.9583817595,1.0,-18.758895719840027,21.704548128235903,0.7252227053413305,0.6990506837333338,127.25949249853576,-2.3750485665192276,-17.353349701536082,22.812967955218443,-1.1888335834401056,0.34491742076407844,6.11,4.62
2458395.2917150925,27.0,-19.05078258918794,22.087353722409976,0.721573056594658,7.875970841367893,127.56741354935687,-2.0454093523720522,-17.772355108467497,23.105044991329073,-1.0410579073964532,0.6728943126328404,6.11,4.62
2458397.625048426,1.0,-20.454976639720822,22.966865675693406,0.6949655412631465,1.1961533298662725,130.93212993464363,-2.1975516516423914,-20.134905524646285,23.218048825141402,-1.179311902673311,0.0,6.11,4.62
2458397.9583817595,20.0,-20.66275497091409,23.10227116087811,0.6910076537865228,8.000246682997274,131.41900477058647,-2.219122643480109,-20.48942063218004,23.22515135057893,-1.2001511067661648,0.3582740158310247,6.11,4.62
2458398.2917150925,20.0,-20.872121166701575,23.240609675415392,0.6870096130075505,8.000246682997274,131.90692840248843,-2.240576325162821,-20.848172589855267,23.2300162829781,-1.221238403696497,0.7268544919824526,6.11,4.62
2458398.625048426,20.0,-21.08309105307741,23.381976989653673,0.6829711117715239,7.891505152276795,132.39596426428582,-2.2619135090614586,-21.2112519892219,23.232571137135572,-1.2425794560958865,0.019782341029446364,6.11,4.62
2458398.9583817595,29.0,-21.295684701757985,23.526469918625285,0.6788918394871599,8.000246552277275,132.88618764153594,-2.2831352087645613,-21.57875685873798,23.23273712798609,-1.2641802569391065,0.3722031779636669,6.11,4.62
2458399.2917150925,19.0,-21.50992491338653,23.674187416594712,0.6747714810890669,8.000246800645277,133.37768234066527,-2.3042427991710643,-21.950791224071377,23.230429759158145,-1.286047222161251,0.7538138675746167,6.11,4.62
2458399.625048426,39.0,-21.725833379796807,23.825227445775866,0.6706097039437091,7.907039925977024,133.87054017770177,-2.3252355052950424,-22.327461575929377,23.225555083055756,-1.3081855942429719,0.0,6.11,4.62
2458399.9583817595,10.0,-21.943442957429234,23.979707715729393,0.66640621138465,2.407841098096025,134.36485109771056,-2.346092595657181,-22.70888950113823,23.218030453404126,-1.330590262873942,0.38613662113324465,6.11,4.62
2458400.2917150925,30.0,-22.162777465398502,24.137726714424478,0.6621606603156003,7.611884913145682,134.8607233206528,-2.36686061710692,-23.095189131546018,23.207744219515053,-1.3532934421997531,0.7825970909766683,6.11,4.62
2458400.625048426,30.0,-22.383864949309014,24.29940127936302,0.6578727155225103,7.875971064198101,135.35825959369825,-2.387519109778449,-23.486485012364287,23.19459331881604,-1.376290355679298,0.0,6.11,4.62
2458400.9583817595,24.0,-22.606734161183972,24.464850736054448,0.6535420367959834,8.000246394224918,135.85756909873723,-2.4080648249824907,-23.88290586727654,23.178466671507945,-1.3995860332503602,0.4020254984013364,6.11,4.62
2458401.2917150925,32.0,-22.831414437152667,24.6341968929665,0.6491682783111913,8.000246353582884,136.3587677078966,-2.4285118981043596,-24.284584540459633,23.1592445718702,-1.4231958122594819,0.814453305044201,6.11,4.62
2458401.625048426,23.0,-23.05793552353443,24.807569779582746,0.6447510885225209,7.891505054158343,136.8619731606935,-2.4488541853790444,-24.69165960922304,23.13680374923637,-1.4471236947557102,0.0,6.11,4.62
2458401.9583817595,27.0,-23.28632751482173,24.985104318403447,0.640290110179499,8.000246711232794,137.3673084276869,-2.4690916423991585,-25.104274496660306,23.11101333298197,-1.4713774662222476,0.41871416737997386,6.11,4.62
2458402.2917150925,30.0,-23.516620780047983,25.16694082404903,0.6357849801857232,8.00024648131499,137.87490179498326,-2.489227029696963,-25.522577738096594,23.081734597615416,-1.4959668852719843,0.84880620935989,6.11,4.62
2458402.625048426,31.0,-23.748845869913698,25.353227025036666,0.6312353295467448,7.907039775388717,138.38488535890338,-2.509260343073379,-25.94672347946397,23.048822165975096,-1.5209004495543774,0.0,6.11,4.62
2458402.9583817595,8.0,-23.983033435223867,25.544117131760014,0.6266407834337364,3.2000985925259964,138.89739660660476,-2.5291925365353913,-26.37687146290368,23.012122209939236,-1.5461875760787562,0.43700725397602724,6.11,4.62
2458403.2917150925,18.0,-24.219214164598647,25.739771647673283,0.622000961086753,8.000246143200599,139.4125791943843,-2.5490291060277652,-26.81318706252437,22.97147133223035,-1.571840834072014,0.8866903550930025,6.11,4.62
2458406.625048426,45.0,-26.697195587679442,28.000074923842984,0.5730246256139574,7.891505054158343,144.74708911581914,-2.741924178495178,-31.556746239015517,22.304507349170184,-1.8507205906955355,0.0,6.11,4.62
